behavior_id,impact_id,relationship
SB089,IMP009,MITIGATES
SB089,IMP010,MITIGATES
SB091,IMP001,MITIGATES
SB091,IMP002,MITIGATES
SB091,IMP005,MITIGATES
SB091,IMP007,MITIGATES
SB091,IMP009,MITIGATES
SB091,IMP010,MITIGATES
SB094,IMP001,MITIGATES
SB094,IMP002,MITIGATES
SB094,IMP005,MITIGATES
SB094,IMP007,MITIGATES
SB094,IMP009,MITIGATES
SB094,IMP010,MITIGATES
SB105,IMP001,MITIGATES
SB105,IMP002,MITIGATES
SB105,IMP005,MITIGATES
SB105,IMP007,MITIGATES
SB105,IMP009,MITIGATES
SB105,IMP010,MITIGATES
SB112,IMP001,MITIGATES
SB112,IMP002,MITIGATES
SB112,IMP005,MITIGATES
SB112,IMP007,MITIGATES
SB112,IMP009,MITIGATES
SB112,IMP010,MITIGATES
SB113,IMP001,MITIGATES
SB113,IMP002,MITIGATES
SB113,IMP005,MITIGATES
SB113,IMP007,MITIGATES
SB113,IMP009,MITIGATES
SB113,IMP010,MITIGATES
SB114,IMP001,MITIGATES
SB114,IMP002,MITIGATES
SB114,IMP005,MITIGATES
SB114,IMP007,MITIGATES
SB114,IMP009,MITIGATES
SB114,IMP010,MITIGATES
SB116,IMP001,MITIGATES
SB116,IMP002,MITIGATES
SB116,IMP007,MITIGATES
SB116,IMP009,MITIGATES
SB116,IMP010,MITIGATES
SB117,IMP002,MITIGATES
SB117,IMP005,MITIGATES
SB117,IMP007,MITIGATES
SB117,IMP009,MITIGATES
SB117,IMP010,MITIGATES
SB119,IMP001,MITIGATES
SB119,IMP002,MITIGATES
SB119,IMP005,MITIGATES
SB119,IMP007,MITIGATES
SB119,IMP010,MITIGATES
SB120,IMP001,MITIGATES
SB120,IMP002,MITIGATES
SB120,IMP007,MITIGATES
SB121,IMP001,MITIGATES
SB121,IMP002,MITIGATES
SB121,IMP005,MITIGATES
SB121,IMP007,MITIGATES
SB121,IMP009,MITIGATES
SB121,IMP010,MITIGATES
SB122,IMP002,MITIGATES
SB122,IMP005,MITIGATES
SB122,IMP010,MITIGATES
SB123,IMP002,MITIGATES
SB123,IMP005,MITIGATES
SB123,IMP007,MITIGATES
SB123,IMP010,MITIGATES
SB124,IMP001,MITIGATES
SB124,IMP002,MITIGATES
SB124,IMP005,MITIGATES
SB124,IMP009,MITIGATES
SB124,IMP010,MITIGATES
SB125,IMP001,MITIGATES
SB125,IMP002,MITIGATES
SB125,IMP007,MITIGATES
SB125,IMP009,MITIGATES
SB125,IMP010,MITIGATES
SB126,IMP002,MITIGATES
SB126,IMP005,MITIGATES
SB126,IMP007,MITIGATES
SB126,IMP010,MITIGATES
SB127,IMP001,MITIGATES
SB127,IMP002,MITIGATES
SB127,IMP005,MITIGATES
SB127,IMP007,MITIGATES
SB127,IMP009,MITIGATES
SB127,IMP010,MITIGATES
SB128,IMP001,MITIGATES
SB128,IMP002,MITIGATES
SB128,IMP005,MITIGATES
SB128,IMP007,MITIGATES
SB128,IMP009,MITIGATES
SB128,IMP010,MITIGATES
SB129,IMP001,MITIGATES
SB129,IMP002,MITIGATES
SB129,IMP005,MITIGATES
SB129,IMP007,MITIGATES
SB129,IMP009,MITIGATES
SB129,IMP010,MITIGATES
SB130,IMP001,MITIGATES
SB130,IMP002,MITIGATES
SB130,IMP003,MITIGATES
SB130,IMP005,MITIGATES
SB130,IMP007,MITIGATES
SB130,IMP009,MITIGATES
SB130,IMP010,MITIGATES
SB131,IMP001,MITIGATES
SB131,IMP002,MITIGATES
SB131,IMP005,MITIGATES
SB131,IMP009,MITIGATES
SB131,IMP010,MITIGATES
SB150,IMP001,MITIGATES
SB150,IMP002,MITIGATES
SB150,IMP005,MITIGATES
SB150,IMP007,MITIGATES
SB150,IMP009,MITIGATES
SB150,IMP010,MITIGATES
SB152,IMP001,MITIGATES
SB152,IMP002,MITIGATES
SB152,IMP003,MITIGATES
SB152,IMP005,MITIGATES
SB152,IMP007,MITIGATES
SB152,IMP009,MITIGATES
SB152,IMP010,MITIGATES
SB153,IMP001,MITIGATES
SB153,IMP002,MITIGATES
SB153,IMP005,MITIGATES
SB153,IMP007,MITIGATES
SB153,IMP009,MITIGATES
SB153,IMP010,MITIGATES
SB154,IMP001,MITIGATES
SB154,IMP002,MITIGATES
SB154,IMP005,MITIGATES
SB154,IMP007,MITIGATES
SB154,IMP009,MITIGATES
SB154,IMP010,MITIGATES
SB156,IMP001,MITIGATES
SB156,IMP002,MITIGATES
SB156,IMP005,MITIGATES
SB156,IMP007,MITIGATES
SB156,IMP009,MITIGATES
SB156,IMP010,MITIGATES
SB159,IMP001,MITIGATES
SB159,IMP002,MITIGATES
SB159,IMP005,MITIGATES
SB159,IMP007,MITIGATES
SB159,IMP009,MITIGATES
SB159,IMP010,MITIGATES
SB164,IMP001,MITIGATES
SB164,IMP002,MITIGATES
SB164,IMP005,MITIGATES
SB164,IMP007,MITIGATES
SB164,IMP009,MITIGATES
SB164,IMP010,MITIGATES
SB171,IMP001,MITIGATES
SB171,IMP002,MITIGATES
SB171,IMP005,MITIGATES
SB171,IMP007,MITIGATES
SB171,IMP010,MITIGATES
SB173,IMP001,MITIGATES
SB173,IMP002,MITIGATES
SB173,IMP005,MITIGATES
SB173,IMP007,MITIGATES
SB173,IMP010,MITIGATES
SB185,IMP001,MITIGATES
SB185,IMP002,MITIGATES
SB185,IMP005,MITIGATES
SB185,IMP007,MITIGATES
SB185,IMP009,MITIGATES
SB185,IMP010,MITIGATES
SB189,IMP001,MITIGATES
SB189,IMP002,MITIGATES
SB189,IMP005,MITIGATES
SB189,IMP007,MITIGATES
SB189,IMP010,MITIGATES
SB202,IMP002,MITIGATES
SB202,IMP005,MITIGATES
SB202,IMP007,MITIGATES
SB202,IMP010,MITIGATES
SB203,IMP001,MITIGATES
SB203,IMP002,MITIGATES
SB203,IMP005,MITIGATES
SB203,IMP007,MITIGATES
SB203,IMP010,MITIGATES
SB209,IMP001,MITIGATES
SB209,IMP002,MITIGATES
SB209,IMP005,MITIGATES
SB209,IMP007,MITIGATES
SB209,IMP009,MITIGATES
SB209,IMP010,MITIGATES
SB210,IMP001,MITIGATES
SB210,IMP002,MITIGATES
SB210,IMP005,MITIGATES
SB210,IMP007,MITIGATES
SB210,IMP009,MITIGATES
SB210,IMP010,MITIGATES
SB213,IMP001,MITIGATES
SB213,IMP002,MITIGATES
SB213,IMP005,MITIGATES
SB213,IMP007,MITIGATES
SB213,IMP009,MITIGATES
SB213,IMP010,MITIGATES
